feature,mean_importance
Name_walter,0.0
Ticket_17608,0.0
Ticket_17611,0.0
Ticket_17757,0.0
Ticket_17760,0.0
Ticket_17761,0.0
Ticket_19877,0.0
Ticket_19928,0.0
Ticket_19950,0.0
Ticket_2123,0.0
Ticket_2144,0.0
Ticket_17604,0.0
Ticket_230080,0.0
Ticket_2343,0.0
Ticket_237736,0.0
Ticket_239853,0.0
Ticket_24160,0.0
Ticket_244252,0.0
Ticket_244367,0.0
Ticket_248727,0.0
Ticket_248738,0.0
Ticket_250644,0.0
Ticket_250647,0.0
Ticket_231919,0.0
Ticket_26360,0.0
Ticket_17582,0.0
Ticket_17485,0.0
Name_williams,0.0
Ticket_110152,0.0
Ticket_110413,0.0
Ticket_110465,0.0
Ticket_111361,0.0
Ticket_113760,0.0
Ticket_113776,0.0
Ticket_113781,0.0
Ticket_113803,0.0
Ticket_113806,0.0
Ticket_17569,0.0
Ticket_11668,0.0
Ticket_12749,0.0
Ticket_13502,0.0
Ticket_13507,0.0
Ticket_13529,0.0
Ticket_14879,0.0
Ticket_16966,0.0
Ticket_17421,0.0
Ticket_17453,0.0
Ticket_17474,0.0
Ticket_17477,0.0
Ticket_11967,0.0
Ticket_2651,0.0
Ticket_2653,0.0
Ticket_2659,0.0
Ticket_36947,0.0
Ticket_370129,0.0
Ticket_370365,0.0
Ticket_371110,0.0
Ticket_37671,0.0
Ticket_382652,0.0
Ticket_4133,0.0
Ticket_54636,0.0
Ticket_6608,0.0
Ticket_7534,0.0
Ticket_36928,0.0
Ticket_ah,0.0
Ticket_line,0.0
Ticket_o2,0.0
Ticket_oq,0.0
Ticket_paris,0.0
Ticket_pc,0.0
Ticket_pp,0.0
Ticket_sc,0.0
Ticket_soton,0.0
Ticket_ston,0.0
Embarked_C,0.0
Ticket_ca,0.0
Ticket_367230,0.0
Ticket_358585,0.0
Ticket_35273,0.0
Ticket_2665,0.0
Ticket_2666,0.0
Ticket_2668,0.0
Ticket_2673,0.0
Ticket_2691,0.0
Ticket_2699,0.0
Ticket_2908,0.0
Ticket_29106,0.0
Ticket_3101279,0.0
Ticket_3101295,0.0
Ticket_31027,0.0
Ticket_31921,0.0
Ticket_33112,0.0
Ticket_3381,0.0
Ticket_345764,0.0
Ticket_34651,0.0
Ticket_347080,0.0
Ticket_347082,0.0
Ticket_347088,0.0
Ticket_347742,0.0
Ticket_349208,0.0
Ticket_349237,0.0
Ticket_349909,0.0
Name_william,0.0
Embarked_Q,0.0
Embarked_S,0.0
Name_vander,0.0
Name_edward,0.0
Name_elias,0.0
Name_elisabeth,0.0
Name_elizabeth,0.0
Name_ellen,0.0
Name_elsie,0.0
Name_emil,0.0
Name_emily,0.0
Name_ernest,0.0
Name_ernst,0.0
Name_dr,0.0
Name_eugene,0.0
Name_fortune,0.0
Name_francis,0.0
Name_frank,0.0
Name_frederick,0.0
Name_george,0.0
Name_goodwin,0.0
Name_gustaf,0.0
Name_hanna,0.0
Name_hansen,0.0
Name_harry,0.0
Name_ford,0.0
Name_victor,0.0
Name_david,0.0
Name_charles,0.0
Sex,0.0
Age,0.0
SibSp,0.0
Parch,0.0
Name_ada,0.0
Name_albert,0.0
Name_alexander,0.0
Name_alfred,0.0
Name_alice,0.0
Name_andersson,0.0
Name_daniel,0.0
Name_anna,0.0
Name_annie,0.0
Name_arnold,0.0
Name_arthur,0.0
Name_august,0.0
Name_bertha,0.0
Name_borland,0.0
Name_brown,0.0
Name_campbell,0.0
Name_carter,0.0
Name_catherine,0.0
Name_anne,0.0
Name_henry,0.0
Name_helen,0.0
Name_jakob,0.0
Name_ivan,0.0
Name_mrs,0.0
Name_nils,0.0
Name_norman,0.0
Name_olsen,0.0
Name_panula,0.0
Name_patrick,0.0
Name_peter,0.0
Name_planke,0.0
Name_michael,0.0
Name_rene,0.0
Name_robert,0.0
Name_samuel,0.0
Name_skoog,0.0
Name_smith,0.0
Name_sofia,0.0
Name_tannous,0.0
Name_taussig,0.0
Name_thayer,0.0
Name_thomas,0.0
Name_richard,0.0
Name_meyer,0.0
Name_miss,0.0
Name_mary,0.0
Name_jane,0.0
Name_john,0.0
Name_johnson,0.0
Name_joseph,0.0
Name_jr,0.0
Name_juha,0.0
Name_karl,0.0
Name_master,0.0
Name_katherine,0.0
Name_kelly,0.0
Name_laroche,0.0
Name_leonard,0.0
Name_louise,0.0
Name_mabel,0.0
Name_madeleine,0.0
Name_margaret,0.0
Name_maria,0.0
Name_james,0.0
Name_marie,0.0
Name_martin,0.0
Name_jensen,0.0
Name_johan,0.0
Ticket_1601,0.009133999673816206
Name_rev,0.026103707530477215
Cabin,0.070841744043231
Name_mr,0.34480497122552295
Fare,0.36704112251498666
Pclass,1.0881324411127857
